isin,symbol,company_name,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,classification_status,classification_source,yahoo_failure_reason,attempted_at_utc,attempt_count
INE01GN01025,IRISDOREME,Iris Clothings Limited,IRISDOREME.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE696V01013,JAIPURKURT,Nandani Creation Limited,JAIPURKURT.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE412C01023,JMA,Jullundur Motor Agency (Delhi) Limited,JMA.NS,Consumer Cyclical,Auto Parts,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE839G01010,JOCIL,Jocil Limited,JOCIL.NS,Basic Materials,Specialty Chemicals,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE610E01010,KALYANI,Kalyani Commercials Limited,KALYANI.NS,Consumer Cyclical,Auto & Truck Dealerships,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE542Z01028,KAPSTON,Kapston Services Limited,KAPSTON.NS,Industrials,Specialty Business Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE880L01014,KIOCL,KIOCL Limited,KIOCL.NS,Basic Materials,Steel,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE602G01020,KITEX,Kitex Garments Limited,KITEX.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE157H01023,KMSUGAR,K.M.Sugar Mills Limited,KMSUGAR.NS,Consumer Defensive,Confectioners,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0KNW01016,KNAGRI,KN Agri Resources Limited,KNAGRI.NS,Consumer Defensive,Farm Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE094I01018,KOLTEPATIL,Kolte - Patil Developers Limited,KOLTEPATIL.NS,Real Estate,Real Estate - Development,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE419A01022,KOTARISUG,Kothari Sugars And Chemicals Limited,KOTARISUG.NS,Consumer Defensive,Confectioners,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE720A01015,KOTHARIPET,Kothari Petrochemicals Limited,KOTHARIPET.NS,Basic Materials,Specialty Chemicals,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE823A01017,KOTHARIPRO,Kothari Products Limited,KOTHARIPRO.NS,Industrials,Conglomerates,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE268B01013,KREBSBIO,Krebs Biochemicals and Industries Limited,KREBSBIO.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE506W01020,KRISHANA,Krishana Phoschem Limited,KRISHANA.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0J5601015,KRISHNADEF,Krishna Defence And Allied Industries Limited,KRISHNADEF.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE00Z501029,KRITIKA,Kritika Wires Limited,KRITIKA.NS,Basic Materials,Steel,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE013801027,KSHITIJPOL,Kshitij Polyline Limited,KSHITIJPOL.NS,Industrials,Business Equipment & Supplies,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE548Z01017,LAGNAM,Lagnam Spintex Limited,LAGNAM.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE262Z01023,LATTEYS,Latteys Industries Limited,LATTEYS.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE801V01019,LAXMICOT,Laxmi Cotspin Limited,LAXMICOT.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0G1L01025,LEMERITE,Le Merite Exports Limited,LEMERITE.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE500X01013,LEXUS,Lexus Granito (India) Limited,LEXUS.NS,Industrials,Building Products & Equipment,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE850E01012,LFIC,Lakshmi Finance & Industrial Corporation Limited,LFIC.NS,Financial Services,Asset Management,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE258Y01016,LGHL,Laxmi Goldorna House Limited,LGHL.NS,Consumer Cyclical,Luxury Goods,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE908V01012,LIBAS,Libas Consumer Products Limited,LIBAS.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE155Z01011,MACPOWER,Macpower CNC Machines Limited,MACPOWER.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE263W01010,MAHESHWARI,Maheshwari Logistics Limited,MAHESHWARI.NS,Industrials,Integrated Freight & Logistics,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE01JE01028,MARINE,Marine Electricals (India) Limited,MARINE.NS,Industrials,Electrical Equipment & Parts,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE885F01015,MASKINVEST,Mask Investments Limited,MASKINVEST.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE900L01028,MBAPL,Madhya Bharat Agro Products Limited,MBAPL.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE813V01022,MCL,M TEK COPPER LIMITED,MCL.NS,Basic Materials,Copper,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE828O01033,MITCON,MITCON Consultancy & Engineering Services Limited,MITCON.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE997Y01027,MITTAL,Mittal Life Style Limited,MITTAL.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE511Y01018,MMP,MMP Industries Limited,MMP.NS,Basic Materials,Aluminum,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE514Y01020,MOKSH,Moksh Ornaments Limited,MOKSH.NS,Consumer Cyclical,Luxury Goods,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE365I01020,NBIFIN,N. B. I. Industrial Finance Company Limited,NBIFIN.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE756C01015,NDGL,Naga Dhunseri Group Limited,NDGL.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE326T01011,NIRAJISPAT,Niraj Ispat Industries Limited,NIRAJISPAT.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE439T01012,NITIRAJ,Nitiraj Engineers Limited,NITIRAJ.NS,Technology,Scientific & Technical Instruments,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE02H701025,NOVAAGRI,Nova Agritech Limited,NOVAAGRI.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0JM501013,NRL,Nupur Recyclers Limited,NRL.NS,Industrials,Waste Management,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE213A01029,ONGC,Oil & Natural Gas Corporation Limited,ONGC.NS,Energy,Oil & Gas Integrated,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
