isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE982B01027,ADFFOODS,ADF Foods Limited,EQ,519183,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,Food Products,Packaged Foods,CLASSIFIED,,,,0
INE0CHO01012,ADL,Archidply Decor Limited,EQ,543231,Consumer Discretionary,Plywood Boards/ Laminates,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,CLASSIFIED,,,,0
INE045A01017,ADOR,Ador Welding Limited,EQ,517041,Industrials,Other Industrial Products,Capital Goods,Industrial Products,Other Industrial Products,CLASSIFIED,,,,0
INE737B01033,ADROITINFO,Adroit Infotech Limited,EQ,532172,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE102I01027,ADSL,Allied Digital Services Limited,EQ,532875,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE0ALI01010,ADVAIT,Advait Energy Transitions Limited,EQ,543230,Industrials,Other Electrical Equipment,Capital Goods,Electrical Equipment,Other Electrical Equipment,CLASSIFIED,,,,0
INE1B0W01010,ADVANCE,Advance Agrolife Limited,EQ,544562,Commodities,Pesticides & Agrochemicals,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,CLASSIFIED,,,,0
INE199C01026,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,523269,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE28GN01010,ADVENTHTL,Advent Hotels International Limited,EQ,544446,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE837H01020,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,540025,Healthcare,Biotechnology,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,CLASSIFIED,,,,0
INE178T01024,ADVIKCA,Advik Capital Limited,EQ,539773,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE208C01025,AEGISLOG,Aegis Logistics Limited,EQ,500003,Energy,Trading - Gas,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas,CLASSIFIED,,,,0
INE0INX01018,AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,544407,Energy,Oil Storage & Transportation,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation,CLASSIFIED,,,,0
