symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
GICL,Globe International Carriers Limited,EQ,INE947T01022,2026-02-18,YAHOO_FALLBACK,Yahoo Finance,,,,GICL.NS,Industrials,Integrated Freight & Logistics,COMPANY_NAME: IndexError: tuple index out of range,
GKWLIMITED,GKW Limited,EQ,INE528A01020,2009-07-20,YAHOO_FALLBACK,Yahoo Finance,,,,GKWLIMITED.NS,Industrials,Specialty Business Services,COMPANY_NAME: IndexError: tuple index out of range,
GLOBAL,Global Education Limited,EQ,INE291W01037,2020-12-07,YAHOO_FALLBACK,Yahoo Finance,,,,GLOBAL.NS,Consumer Defensive,Education & Training Services,COMPANY_NAME: IndexError: tuple index out of range,
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,INE581X01021,2020-10-07,YAHOO_FALLBACK,Yahoo Finance,,,,GLOBE.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
GRADIENTE,Gradiente Infotainment Limited,EQ,INE361K01017,2026-05-08,YAHOO_FALLBACK,Yahoo Finance,,,,GRADIENTE.NS,Communication Services,Entertainment,COMPANY_NAME: IndexError: tuple index out of range,
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018,2016-07-14,YAHOO_FALLBACK,Yahoo Finance,,,,GROBTEA.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,BE,INE586X01012,2020-11-13,YAHOO_FALLBACK,Yahoo Finance,,,,GTECJAINX.NS,Consumer Defensive,Education & Training Services,COMPANY_NAME: IndexError: tuple index out of range,
GVPTECH,GVP Infotech Limited,EQ,INE382T01030,2022-09-06,YAHOO_FALLBACK,Yahoo Finance,,,,GVPTECH.NS,Technology,Information Technology Services,COMPANY_NAME: IndexError: tuple index out of range,
HECPROJECT,HEC Infra Projects Limited,EQ,INE558R01013,2021-12-30,YAHOO_FALLBACK,Yahoo Finance,,,,HECPROJECT.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
HINDCON,Hindcon Chemicals Limited,EQ,INE642Y01029,2021-07-05,YAHOO_FALLBACK,Yahoo Finance,,,,HINDCON.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
ICEMAKE,Ice Make Refrigeration Limited,EQ,INE520Y01019,2020-10-12,YAHOO_FALLBACK,Yahoo Finance,,,,ICEMAKE.NS,Industrials,Specialty Industrial Machinery,COMPANY_NAME: IndexError: tuple index out of range,
IRISDOREME,Iris Clothings Limited,EQ,INE01GN01025,2021-02-22,YAHOO_FALLBACK,Yahoo Finance,,,,IRISDOREME.NS,Consumer Cyclical,Apparel Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
JAIPURKURT,Nandani Creation Limited,EQ,INE696V01013,2021-09-02,YAHOO_FALLBACK,Yahoo Finance,,,,JAIPURKURT.NS,Consumer Cyclical,Apparel Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,INE412C01023,2015-03-16,YAHOO_FALLBACK,Yahoo Finance,,,,JMA.NS,Consumer Cyclical,Auto Parts,COMPANY_NAME: IndexError: tuple index out of range,
JOCIL,Jocil Limited,BE,INE839G01010,2008-10-08,YAHOO_FALLBACK,Yahoo Finance,,,,JOCIL.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
KALYANI,Kalyani Commercials Limited,BE,INE610E01010,2017-02-13,YAHOO_FALLBACK,Yahoo Finance,,,,KALYANI.NS,Consumer Cyclical,Auto & Truck Dealerships,COMPANY_NAME: IndexError: tuple index out of range,
KAPSTON,Kapston Services Limited,EQ,INE542Z01028,2020-05-27,YAHOO_FALLBACK,Yahoo Finance,,,,KAPSTON.NS,Industrials,Specialty Business Services,COMPANY_NAME: IndexError: tuple index out of range,
KIOCL,KIOCL Limited,EQ,INE880L01014,2016-11-29,YAHOO_FALLBACK,Yahoo Finance,,,,KIOCL.NS,Basic Materials,Steel,COMPANY_NAME: IndexError: tuple index out of range,
KITEX,Kitex Garments Limited,EQ,INE602G01020,2012-09-25,YAHOO_FALLBACK,Yahoo Finance,,,,KITEX.NS,Consumer Cyclical,Apparel Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
KMSUGAR,K.M.Sugar Mills Limited,EQ,INE157H01023,2007-05-31,YAHOO_FALLBACK,Yahoo Finance,,,,KMSUGAR.NS,Consumer Defensive,Confectioners,COMPANY_NAME: IndexError: tuple index out of range,
KNAGRI,KN Agri Resources Limited,EQ,INE0KNW01016,2025-12-09,YAHOO_FALLBACK,Yahoo Finance,,,,KNAGRI.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,INE094I01018,2007-12-13,YAHOO_FALLBACK,Yahoo Finance,,,,KOLTEPATIL.NS,Real Estate,Real Estate - Development,COMPANY_NAME: IndexError: tuple index out of range,
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,INE419A01022,2004-12-13,YAHOO_FALLBACK,Yahoo Finance,,,,KOTARISUG.NS,Consumer Defensive,Confectioners,COMPANY_NAME: IndexError: tuple index out of range,
KOTHARIPET,Kothari Petrochemicals Limited,EQ,INE720A01015,1996-11-02,YAHOO_FALLBACK,Yahoo Finance,,,,KOTHARIPET.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
KOTHARIPRO,Kothari Products Limited,EQ,INE823A01017,1998-06-03,YAHOO_FALLBACK,Yahoo Finance,,,,KOTHARIPRO.NS,Industrials,Conglomerates,COMPANY_NAME: IndexError: tuple index out of range,
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,INE268B01013,1996-01-03,YAHOO_FALLBACK,Yahoo Finance,,,,KREBSBIO.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
KRISHANA,Krishana Phoschem Limited,EQ,INE506W01020,2019-08-22,YAHOO_FALLBACK,Yahoo Finance,,,,KRISHANA.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,INE0J5601015,2025-12-30,YAHOO_FALLBACK,Yahoo Finance,,,,KRISHNADEF.NS,Industrials,Specialty Industrial Machinery,COMPANY_NAME: IndexError: tuple index out of range,
KRITIKA,Kritika Wires Limited,EQ,INE00Z501029,2022-05-04,YAHOO_FALLBACK,Yahoo Finance,,,,KRITIKA.NS,Basic Materials,Steel,COMPANY_NAME: IndexError: tuple index out of range,
